Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Care Domain Score,Weighted Normalized Clinical Care Domain Score,Unweighted Person and Community Engagement Domain Score,Weighted Person and Community Engagement Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency and Cost Reduction Domain Score,Weighted Efficiency and Cost Reduction Domain Score,Total Performance Score
280003,BRYAN MEDICAL CENTER,1600 SOUTH 48TH ST,LINCOLN,NE,68506,Lancaster,50,12.5,33,8.25,15,3.75,0,0,24.5
280009,CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848,Buffalo,75,18.75,24,6,31.66666667,7.916666667,0,0,32.66666667
280013,THE NEBRASKA MEDICAL CENTER,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,Douglas,77.5,19.375,33,8.25,36.66666667,9.166666667,0,0,36.79166667
280020,CHI HEALTH ST ELIZABETH,555 SOUTH 70TH ST,LINCOLN,NE,68510,Lancaster,55,13.75,22,5.5,26.66666667,6.666666667,0,0,25.91666667
280023,CHI HEALTH ST FRANCIS,2620 WEST FAIDLEY AVE,GRAND ISLAND,NE,68803,Hall,62.5,15.625,32,8,46.66666667,11.66666667,0,0,35.29166667
280032,MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,HASTINGS,NE,68901,Adams,47.5,11.875,35,8.75,26.66666667,6.666666667,10,2.5,29.79166667
280040,METHODIST HOSPITAL,8303 DODGE ST,OMAHA,NE,68114,Douglas,62.5,15.625,64,16,38.33333333,9.583333333,0,0,41.20833333
280060,CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER - B,7500 MERCY RD,OMAHA,NE,68124,Douglas,57.5,14.375,18,4.5,35,8.75,20,5,32.625
280061,REGIONAL WEST MEDICAL CENTER,4021 AVE B,SCOTTSBLUFF,NE,69361,Scotts Bluff,47.5,11.875,16,4,22,5.5,10,2.5,23.875
280065,GREAT PLAINS HEALTH,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,Lincoln,52.5,13.125,27,6.75,35,8.75,10,2.5,31.125
280077,METHODIST FREMONT HEALTH,450 EAST 23RD ST,FREMONT,NE,68025,Dodge,37.5,9.375,44,11,76.66666667,19.16666667,50,12.5,52.04166667
280081,CHI HEALTH IMMANUEL,6901 NORTH 72ND ST,OMAHA,NE,68122,Douglas,67.5,16.875,26,6.5,41.66666667,10.41666667,20,5,38.79166667
280105,CHI HEALTH MIDLANDS,11111 SOUTH 84TH ST,PAPILLION,NE,68046,Sarpy,60,20,57,19,Not Available,Not Available,40,13.33333333,52.33333333
280111,COLUMBUS COMMUNITY HOSPITAL,4600 38TH ST,COLUMBUS,NE,68601,Platte,50,12.5,56,14,80,20,0,0,46.5
280125,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,Madison,37.5,9.375,24,6,46,11.5,0,0,26.875
280128,CHI HEALTH NEBRASKA HEART,7500 SOUTH 91ST ST,LINCOLN,NE,68526,Lancaster,40,13.33333333,50,16.66666667,Not Available,Not Available,20,6.666666667,36.66666667
280130,CHI HEALTH LAKESIDE,16901 LAKESIDE HILLS CT,OMAHA,NE,68130,Douglas,55,13.75,29,7.25,65,16.25,20,5,42.25
280132,BELLEVUE MEDICAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,NE,68123,Sarpy,40,10,52,13,60,15,40,10,48
280134,KEARNEY REGIONAL MEDICAL CENTER,804 22ND AVENUE,KEARNEY,NE,68845,Buffalo,60,15,28,7,30,7.5,30,7.5,37
290001,RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,89502,Washoe,52.5,13.125,12,3,35,8.75,0,0,24.875
290003,SUNRISE HOSPITAL AND MEDICAL CENTER,3186 S MARYLAND PKWY,LAS VEGAS,NV,89109,Clark,35,8.75,18,4.5,8.333333333,2.083333333,10,2.5,17.83333333
290005,NORTH VISTA HOSPITAL,1409 EAST LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030,Clark,86.66666667,21.66666667,27,6.75,46.66666667,11.66666667,0,0,40.08333333
290007,UNIVERSITY MEDICAL CENTER,1800 W CHARLESTON BLVD,LAS VEGAS,NV,89102,Clark,52.5,13.125,16,4,21.66666667,5.416666667,0,0,22.54166667
290008,NORTHEASTERN NEVADA REGIONAL HOSPITAL,2001 ERRECART BLVD,ELKO,NV,89801,Elko,25,6.25,35,8.75,65,16.25,10,2.5,33.75
290009,SAINT MARY'S REGIONAL MEDICAL CENTER,235 W 6TH ST,RENO,NV,89503,Washoe,80,20,12,3,63.33333333,15.83333333,70,17.5,56.33333333
290012,ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS,102 E LAKE MEAD DR,HENDERSON,NV,89015,Clark,40,10,37,9.25,66.66666667,16.66666667,20,5,40.91666667
290019,CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,89703,Carson City,72.5,18.125,34,8.5,30,7.5,40,10,44.125
290021,VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,NV,89106,Clark,57.5,14.375,17,4.25,8,2,10,2.5,23.125
290022,DESERT SPRINGS HOSPITAL,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,89119,Clark,50,12.5,17,4.25,4,1,0,0,17.75
290032,NORTHERN NEVADA MEDICAL CENTER,2375 PRATER WAY,SPARKS,NV,89434,Washoe,45,15,29,9.666666667,Not Available,Not Available,40,13.33333333,38
290039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,Clark,82.5,20.625,20,5,55,13.75,0,0,39.375
290041,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89144,Clark,65,16.25,21,5.25,30,7.5,0,0,29
290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,Clark,20,5,23,5.75,46.66666667,11.66666667,10,2.5,24.91666667
290046,SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,LAS VEGAS,NV,89118,Clark,40,10,18,4.5,25,6.25,10,2.5,23.25
290047,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET RD,LAS VEGAS,NV,89148,Clark,50,12.5,23,5.75,40,10,0,0,28.25
290049,RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,Washoe,36.66666667,9.166666667,24,6,80,20,70,17.5,52.66666667
290053,ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,8280 W WARM SPRINGS ROAD,LAS VEGAS,NV,89113,Clark,60,15,35,8.75,50,12.5,20,5,41.25
290054,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 N DURANGO DR,LAS VEGAS,NV,89149,Clark,57.5,14.375,14,3.5,33.33333333,8.333333333,10,2.5,28.70833333
290057,HENDERSON HOSPITAL,1050 WEST GALLERIA DRIVE,HENDERSON,NV,89011,Clark,Not Available,Not Available,29,9.666666667,63.33333333,21.11111111,0,0,30.77777778
300001,CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,NH,3301,Merrimack,65,16.25,49,12.25,30,7.5,0,0,36
300003,MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,NH,3756,Grafton,65,16.25,39,9.75,13.33333333,3.333333333,0,0,29.33333333
300005,LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,LACONIA,NH,3246,Belknap,67.5,16.875,28,7,52.5,13.125,10,2.5,39.5
300011,ST JOSEPH HOSPITAL,172 KINSLEY ST,NASHUA,NH,3060,Hillsborough,67.5,16.875,30,7.5,56,14,0,0,38.375
300012,ELLIOT HOSPITAL,1 ELLIOT WAY,MANCHESTER,NH,3103,Hillsborough,52.5,13.125,24,6,41.66666667,10.41666667,0,0,29.54166667
300014,FRISBIE MEMORIAL HOSPITAL,11 WHITEHALL ROAD,ROCHESTER,NH,3867,Strafford,52.5,13.125,63,15.75,37.5,9.375,10,2.5,40.75
300017,PARKLAND MEDICAL CENTER,1 PARKLAND DRIVE,DERRY,NH,3038,Rockingham,30,7.5,29,7.25,33.33333333,8.333333333,20,5,28.08333333
300018,WENTWORTH-DOUGLASS HOSPITAL,789 CENTRAL AVE,DOVER,NH,3820,Strafford,75,18.75,71,17.75,30,7.5,20,5,49
300019,CHESHIRE MEDICAL CENTER,580 COURT STREET,KEENE,NH,3431,Cheshire,52.5,13.125,23,5.75,50,12.5,10,2.5,33.875
300020,SOUTHERN NH MEDICAL CENTER,8 PROSPECT STREET,NASHUA,NH,3060,Hillsborough,67.5,16.875,21,5.25,20,5,0,0,27.125
300023,EXETER HOSPITAL INC,5 ALUMNI DRIVE,EXETER,NH,3833,Rockingham,60,15,57,14.25,20,5,10,2.5,36.75
300029,PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVE,PORTSMOUTH,NH,3801,Rockingham,70,17.5,23,5.75,28.33333333,7.083333333,0,0,30.33333333
300034,CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,MANCHESTER,NH,3102,Hillsborough,87.5,21.875,28,7,20,5,0,0,33.875
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,Bergen,97.5,24.375,33,8.25,21.66666667,5.416666667,0,0,38.04166667
310002,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,7112,Essex,60,15,19,4.75,41.66666667,10.41666667,0,0,30.16666667
310003,PALISADES MEDICAL CENTER,7600 RIVER RD,NORTH BERGEN,NJ,7047,Hudson,76.66666667,19.16666667,11,2.75,10,2.5,10,2.5,26.91666667
310005,HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,FLEMINGTON,NJ,8822,Hunterdon,85,21.25,31,7.75,38.33333333,9.583333333,0,0,38.58333333
310006,ST MARY'S GENERAL HOSPITAL,350 BOULEVARD,PASSAIC,NJ,7055,Passaic,57.5,14.375,19,4.75,73.33333333,18.33333333,0,0,37.45833333
310008,HOLY NAME MEDICAL CENTER,718 TEANECK RD,TEANECK,NJ,7666,Bergen,80,20,23,5.75,15,3.75,0,0,29.5
310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,7109,Essex,70,17.5,25,6.25,61.66666667,15.41666667,0,0,39.16666667
310010,PENN MEDICINE PRINCETON MEDICAL CENTER,ONE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,Middlesex,72.5,18.125,50,12.5,71.66666667,17.91666667,20,5,53.54166667
310011,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,Cape May,45,11.25,38,9.5,34,8.5,0,0,29.25
310012,VALLEY HOSPITAL,223 N VAN DIEN AVENUE,RIDGEWOOD,NJ,7450,Bergen,72.5,18.125,21,5.25,23.33333333,5.833333333,20,5,34.20833333
310014,COOPER UNIVERSITY HOSPITAL,1 COOPER PLAZA,CAMDEN,NJ,8103,Camden,20,5,29,7.25,15,3.75,0,0,16
310015,MORRISTOWN MEDICAL CENTER,100 MADISON AVE,MORRISTOWN,NJ,7962,Morris,95,23.75,20,5,36.66666667,9.166666667,0,0,37.91666667
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,7306,Hudson,26.66666667,6.666666667,15,3.75,50,12.5,0,0,22.91666667
310017,CHILTON MEDICAL CENTER,97 WEST PARKWAY,POMPTON PLAINS,NJ,7444,Morris,85,21.25,24,6,45,11.25,0,0,38.5
310019,ST JOSEPH'S UNIVERSITY MEDICAL CENTER,703 MAIN ST,PATERSON,NJ,7503,Passaic,67.5,16.875,13,3.25,68.33333333,17.08333333,10,2.5,39.70833333
310021,ST FRANCIS MEDICAL CENTER,601 HAMILTON AVE,TRENTON,NJ,8629,Mercer,43.33333333,10.83333333,19,4.75,40,10,20,5,30.58333333
310022,VIRTUA WEST JERSEY HOSPITALS VOORHEES,100 BOWMAN DRIVE,VOORHEES,NJ,8043,Camden,77.5,19.375,22,5.5,20,5,0,0,29.875
310024,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,865 STONE ST,RAHWAY,NJ,7065,Union,42.5,10.625,23,5.75,28,7,0,0,23.375
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,29 EAST 29TH ST,BAYONNE,NJ,7002,Hudson,70,17.5,18,4.5,64,16,0,0,38
310027,TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON STREET,ELIZABETH,NJ,7207,Union,70,17.5,12,3,31.66666667,7.916666667,0,0,28.41666667
310028,NEWTON MEDICAL CENTER,175 HIGH ST,NEWTON,NJ,7860,Sussex,47.5,11.875,29,7.25,26.66666667,6.666666667,0,0,25.79166667
310029,OUR LADY OF LOURDES MEDICAL CENTER,1600 HADDON AVENUE,CAMDEN,NJ,8103,Camden,46.66666667,11.66666667,14,3.5,40,10,0,0,25.16666667
310031,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,BROWNS MILLS,NJ,8015,Burlington,93.33333333,23.33333333,63,15.75,33.33333333,8.333333333,0,0,47.41666667
310032,INSPIRA MEDICAL CENTER VINELAND,1505 W SHERMAN AVE,VINELAND,NJ,8360,Cumberland,22.5,5.625,31,7.75,31.66666667,7.916666667,0,0,21.29166667
310034,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,Monmouth,57.5,14.375,18,4.5,35,8.75,0,0,27.625
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,Middlesex,57.5,14.375,20,5,33.33333333,8.333333333,0,0,27.70833333
310039,RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION,530 NEW BRUNSWICK AVE,PERTH AMBOY,NJ,8861,Middlesex,65,16.25,28,7,38.33333333,9.583333333,10,2.5,35.33333333
310040,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,308 WILLOW AVE,HOBOKEN,NJ,7030,Hudson,37.5,9.375,28,7,44,11,0,0,27.375
310041,COMMUNITY MEDICAL CENTER,99 RT 37 WEST,TOMS RIVER,NJ,8755,Ocean,37.5,9.375,24,6,50,12.5,0,0,27.875
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,8534,Mercer,72.5,18.125,35,8.75,48.33333333,12.08333333,0,0,38.95833333
310045,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,350 ENGLE ST,ENGLEWOOD,NJ,7631,Bergen,47.5,11.875,16,4,36.66666667,9.166666667,0,0,25.04166667
310047,SHORE MEDICAL CENTER,100 MEDICAL CENTER WAY,SOMERS POINT,NJ,8244,Atlantic,60,15,38,9.5,61.66666667,15.41666667,0,0,39.91666667
310048,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,110 REHILL AVE,SOMERVILLE,NJ,8876,Somerset,30,7.5,21,5.25,53.33333333,13.33333333,0,0,26.08333333
310050,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,25 POCONO ROAD,DENVILLE,NJ,7834,Morris,77.5,19.375,22,5.5,33.33333333,8.333333333,30,7.5,40.70833333
310051,OVERLOOK MEDICAL CENTER,99 BEAUVOIR AVENUE,SUMMIT,NJ,7902,Union,55,13.75,20,5,28.33333333,7.083333333,0,0,25.83333333
310052,OCEAN MEDICAL CENTER,425 JACK MARTIN BLVD,BRICK,NJ,8724,Ocean,55,13.75,22,5.5,40,10,0,0,29.25
310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,Essex,62.5,15.625,17,4.25,25,6.25,10,2.5,28.625
310057,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,8060,Burlington,60,15,14,3.5,15,3.75,0,0,22.25
310058,BERGEN REGIONAL MEDICAL CENTER,230 EAST RIDGEWOOD AVE,PARAMUS,NJ,7652,Bergen,40,13.33333333,Not Available,Not Available,100,33.33333333,0,0,46.66666667
310060,ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,8865,Warren,70,17.5,47,11.75,50,12.5,40,10,51.75
310061,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,218A SUNSET ROAD,WILLINGBORO,NJ,8046,Burlington,62.5,15.625,15,3.75,47.5,11.875,0,0,31.25
310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,1925 PACIFIC AVENUE,ATLANTIC CITY,NJ,8401,Atlantic,90,22.5,29,7.25,45,11.25,0,0,41
310069,INSPIRA MEDICAL CENTER ELMER,"501 WEST FRONT STREET, POST OFFICE BOX  1090",ELMER,NJ,8318,Salem,85,21.25,60,15,50,12.5,0,0,48.75
310070,SAINT PETER'S UNIVERSITY HOSPITAL,254 EASTON AVE,NEW BRUNSWICK,NJ,8901,Middlesex,82.5,20.625,51,12.75,41.66666667,10.41666667,10,2.5,46.29166667
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,7754,Monmouth,65,16.25,16,4,55,13.75,0,0,34
310074,JERSEY CITY MEDICAL CENTER,355 GRAND STREET,JERSEY CITY,NJ,7302,Hudson,55,13.75,19,4.75,18.33333333,4.583333333,10,2.5,25.58333333
310075,MONMOUTH MEDICAL CENTER,300 SECOND AVENUE,LONG BRANCH,NJ,7740,Monmouth,85,21.25,42,10.5,71.66666667,17.91666667,0,0,49.66666667
310076,SAINT BARNABAS MEDICAL CENTER,94 OLD SHORT HILLS ROAD,LIVINGSTON,NJ,7039,Essex,72.5,18.125,31,7.75,46.66666667,11.66666667,0,0,37.54166667
310081,INSPIRA MEDICAL CENTER WOODBURY,509 N BROAD ST,WOODBURY,NJ,8096,Gloucester,52.5,13.125,29,7.25,28.33333333,7.083333333,0,0,27.45833333
310083,EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE,EAST ORANGE,NJ,7018,Essex,100,25,15,3.75,0,0,0,0,28.75
310084,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,600 RIVER AVE,LAKEWOOD,NJ,8701,Ocean,26.66666667,8.888888889,48,16,Not Available,Not Available,0,0,24.88888889
310086,JEFFERSON STRATFORD HOSPITAL,18 EAST LAUREL ROAD,STRATFORD,NJ,8084,Camden,77.5,19.375,29,7.25,28.33333333,7.083333333,0,0,33.70833333
310091,MEMORIAL HOSPITAL OF SALEM COUNTY,310 WOODSTOWN ROAD,SALEM,NJ,8079,Salem,43.33333333,10.83333333,15,3.75,70,17.5,0,0,32.08333333
310092,CAPITAL HEALTH SYSTEM-FULD CAMPUS,750 BRUNSWICK AVE,TRENTON,NJ,8638,Mercer,73.33333333,18.33333333,16,4,36,9,0,0,31.33333333
310096,SAINT MICHAEL'S MEDICAL CENTER,111 CENTRAL AVENUE,NEWARK,NJ,7102,Essex,100,25,21,5.25,54,13.5,20,5,48.75
310108,JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,65 JAMES STREET,EDISON,NJ,8818,Middlesex,60,15,12,3,53.33333333,13.33333333,0,0,31.33333333
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,Mercer,75,18.75,31,7.75,68,17,0,0,43.5
310111,CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET,FREEHOLD,NJ,7728,Monmouth,65,16.25,18,4.5,31.66666667,7.916666667,0,0,28.66666667
310112,BAYSHORE MEDICAL CENTER,727 N BEERS ST,HOLMDEL,NJ,7733,Monmouth,55,13.75,34,8.5,76,19,10,2.5,43.75
310113,SOUTHERN OCEAN MEDICAL CENTER,1140 RT 72 W,MANAHAWKIN,NJ,8050,Ocean,65,16.25,15,3.75,53.33333333,13.33333333,0,0,33.33333333
310115,HACKETTSTOWN MEDICAL CENTER,651 WILLOW GROVE ST,HACKETTSTOWN,NJ,7840,Warren,40,10,14,3.5,20,5,0,0,18.5
310118,HUDSON REGIONAL HOSPITAL,55 MEADOWLANDS PKWY,SECAUCUS,NJ,7094,Hudson,73.33333333,18.33333333,17,4.25,70,17.5,20,5,45.08333333
310119,UNIVERSITY HOSPITAL,150 BERGEN ST,NEWARK,NJ,7101,Essex,73.33333333,18.33333333,8,2,20,5,0,0,25.33333333
310130,HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,250 OLD HOOK ROAD,WESTWOOD,NJ,7675,Bergen,62.5,15.625,26,6.5,27.5,6.875,0,0,29
320001,UNM HOSPITAL,2211 LOMAS BOULEVARD NE,ALBUQUERQUE,NM,87106,Bernalillo,66.66666667,16.66666667,19,4.75,21.66666667,5.416666667,0,0,26.83333333
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAEL'S DRIVE,SANTA FE,NM,87505,Santa Fe,27.5,6.875,33,8.25,41.66666667,10.41666667,40,10,35.54166667
320003,ALTA VISTA REGIONAL HOSPITAL,104 LEGION DRIVE,LAS VEGAS,NM,87701,San Miguel,30,10,22,7.333333333,Not Available,Not Available,100,33.33333333,50.66666667
320004,GERALD CHAMPION REGIONAL MEDICAL CENTER,2669 NORTH SCENIC DRIVE,ALAMOGORDO,NM,88310,Otero,25,6.25,13,3.25,32.5,8.125,40,10,27.625
320005,SAN JUAN REGIONAL MEDICAL CENTER,801 WEST MAPLE STREET,FARMINGTON,NM,87401,San Juan,82.5,20.625,22,5.5,60,15,20,5,46.125
320006,EASTERN NEW MEXICO MEDICAL CENTER,405 W COUNTRY CLUB ROAD,ROSWELL,NM,88201,Chaves,62.5,15.625,22,5.5,83.33333333,20.83333333,40,10,51.95833333
320009,LOVELACE MEDICAL CENTER,601 DR MARTIN LUTHER KING JR AVE NE,ALBUQUERQUE,NM,87102,Bernalillo,65,16.25,28,7,66,16.5,20,5,44.75
320011,PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,NM,87532,Rio Arriba,76.66666667,19.16666667,44,11,35,8.75,50,12.5,51.41666667
320016,GILA REGIONAL MEDICAL CENTER,1313 E 32ND ST,SILVER CITY,NM,88061,Grant,40,10,21,5.25,50,12.5,80,20,47.75
320017,LOVELACE WOMEN'S HOSPITAL,4701 MONTGOMERY BOULEVARD NE,ALBUQUERQUE,NM,87109,Bernalillo,46.66666667,11.66666667,21,5.25,20,5,50,12.5,34.41666667
320018,MEMORIAL MEDICAL CENTER,2450 SOUTH TELSHOR BLVD,LAS CRUCES,NM,88011,Dona Ana,60,15,16,4,51.66666667,12.91666667,10,2.5,34.41666667
320021,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SE,ALBUQUERQUE,NM,87106,Bernalillo,62.5,15.625,22,5.5,10,2.5,20,5,28.625
320022,PLAINS REGIONAL MEDICAL CENTER,"2100 N MARTIN LUTHER KING, JR, BLVD",CLOVIS,NM,88101,Curry,30,7.5,28,7,36.66666667,9.166666667,80,20,43.66666667
320033,LOS ALAMOS MEDICAL CENTER,3917 WEST ROAD,LOS ALAMOS,NM,87544,Los Alamos,0,0,39,13,Not Available,Not Available,60,20,33
320038,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,1901 RED ROCK DRIVE,GALLUP,NM,87301,McKinley,10,2.5,14,3.5,15,3.75,70,17.5,27.25
320059,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,San Juan,30,7.5,29,7.25,80,20,40,10,44.75
320063,CARLSBAD MEDICAL CENTER,2430 WEST PIERCE STREET,CARLSBAD,NM,88220,Eddy,66.66666667,16.66666667,39,9.75,70,17.5,70,17.5,61.41666667
320065,LEA REGIONAL MEDICAL CENTER,5419 N LOVINGTON HIGHWAY,HOBBS,NM,88240,Lea,53.33333333,13.33333333,16,4,100,25,40,10,52.33333333
320074,LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE ROAD NW,ALBUQUERQUE,NM,87114,Bernalillo,56.66666667,14.16666667,42,10.5,90,22.5,10,2.5,49.66666667
320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,Dona Ana,70,17.5,23,5.75,46.66666667,11.66666667,0,0,34.91666667
320086,LOVELACE REGIONAL HOSPITAL - ROSWELL,117 EAST 19TH STREET,ROSWELL,NM,88201,Chaves,27.5,6.875,37,9.25,75,18.75,0,0,34.875
320089,UNM SANDOVAL REGIONAL MEDICAL CENTER,3001 BROADMOOR BLVD NE,RIO RANCHO,NM,87144,Sandoval,30,7.5,29,7.25,77.5,19.375,60,15,49.125
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,Albany,56.66666667,14.16666667,37,9.25,55,13.75,40,10,47.16666667
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,Ulster,56.66666667,14.16666667,22,5.5,46.66666667,11.66666667,0,0,31.33333333
330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,Erie,52.5,13.125,14,3.5,38.33333333,9.583333333,30,7.5,33.70833333
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,Westchester,45,11.25,38,9.5,56.66666667,14.16666667,0,0,34.91666667
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,Wyoming,40,10,48,12,100,25,40,10,57
330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,Bronx,50,12.5,13,3.25,58.33333333,14.58333333,50,12.5,42.83333333
330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,Broome,52.5,13.125,32,8,50,12.5,60,15,48.625
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,Albany,57.5,14.375,14,3.5,30,7.5,20,5,30.375
330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,Queens,6.666666667,1.666666667,29,7.25,26.66666667,6.666666667,0,0,15.58333333
330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,Kings,80,20,14,3.5,30,7.5,0,0,31
330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,Dutchess,67.5,16.875,18,4.5,48.33333333,12.08333333,10,2.5,35.95833333
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,New York,75,18.75,15,3.75,20,5,10,2.5,30
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,Nassau,20,5,22,5.5,45,11.25,0,0,21.75
330088,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,Suffolk,40,13.33333333,22,7.333333333,Not Available,Not Available,40,13.33333333,34
