State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date,Number of Hospitals Fewer,Number of Hospitals Average,Number of Hospitals More,Number of Hospitals Too Small
CT,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,3,27,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,1,7,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,6,1,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,116,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,12,163,3,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,3,103,5,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,115,0,15,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,96,0,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,34,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,5,98,2,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,37,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,5,76,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,54,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,25,1,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,5,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,4,2,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,55,1,20,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,113,1,27,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,83,1,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,1,43,1,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,51,0,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,26,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,79,2,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,18,0,6,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,2,60,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,67,6,5,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,6,23,0,1,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,1,6,0,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,6,0,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,111,4,1,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,12,159,5,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,1,106,12,1,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,1,124,2,9,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,2,107,1,7,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,32,1,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,3,92,10,1,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,36,2,2,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,5,73,2,2,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,50,1,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,28,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,7,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,6,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,75,0,41,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,2,162,1,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,2,106,0,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,73,0,52,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,81,0,20,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,33,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,95,2,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,31,0,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,78,1,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Rate of readmission for stroke patients,READM_30_STK,0,36,0,36,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,Rate of readmission for stroke patients,READM_30_STK,0,26,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Rate of readmission for stroke patients,READM_30_STK,0,7,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Rate of readmission for stroke patients,READM_30_STK,0,6,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Rate of readmission for stroke patients,READM_30_STK,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Rate of readmission for stroke patients,READM_30_STK,0,41,0,74,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Rate of readmission for stroke patients,READM_30_STK,1,108,0,67,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Rate of readmission for stroke patients,READM_30_STK,0,69,0,46,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Rate of readmission for stroke patients,READM_30_STK,0,32,0,86,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Rate of readmission for stroke patients,READM_30_STK,0,45,0,51,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Rate of readmission for stroke patients,READM_30_STK,0,25,1,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Rate of readmission for stroke patients,READM_30_STK,0,82,1,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Rate of readmission for stroke patients,READM_30_STK,0,15,0,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Rate of readmission for stroke patients,READM_30_STK,0,67,0,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Rate of readmission for stroke patients,READM_30_STK,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Rate of readmission for CABG,READM_30_CABG,0,15,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,Rate of readmission for CABG,READM_30_CABG,0,10,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,Rate of readmission for CABG,READM_30_CABG,0,1,1,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,Rate of readmission for CABG,READM_30_CABG,1,2,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,Rate of readmission for CABG,READM_30_CABG,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,Rate of readmission for CABG,READM_30_CABG,0,10,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,Rate of readmission for CABG,READM_30_CABG,0,50,0,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,Rate of readmission for CABG,READM_30_CABG,0,30,0,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,Rate of readmission for CABG,READM_30_CABG,0,14,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,Rate of readmission for CABG,READM_30_CABG,1,24,0,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Rate of readmission for CABG,READM_30_CABG,0,3,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,Rate of readmission for CABG,READM_30_CABG,0,20,2,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,Rate of readmission for CABG,READM_30_CABG,0,5,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,Rate of readmission for CABG,READM_30_CABG,0,20,1,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,Rate of readmission for CABG,READM_30_CABG,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,52,0,12,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,28,0,0,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,7,0,0,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,6,0,0,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,70,0,27,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,137,0,29,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,104,0,8,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,63,0,44,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,67,0,24,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,21,0,3,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NC,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,87,0,11,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NM,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,20,0,7,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,75,0,4,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,25,1,2
VI,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,14,17,1,35
CT,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,15,6,5
DC,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,3,4,0
DE,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,3,3,0
GU,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
IA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,21,1,78
IL,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,70,23,68
IN,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,15,34,7,56
KS,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,17,2,73
LA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,24,8,46
ME,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,9,7,2,16
NC,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,41,9,39
NM,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,5,1,27
VA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,43,7,22
VI,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
CO,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,17,35,0,23
CT,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,15,10,2
DC,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,2,5,0
DE,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,3,3,0
GU,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
IA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,17,68,2,29
IL,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,17,121,28,11
IN,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,20,77,11,10
KS,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,12,61,3,50
LA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,67,11,20
NC,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,11,65,19,12
NM,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,24,1,10
VA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,12,46,22,1
VI,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
CO,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,21,41,3,12
CT,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,15,13,1
DC,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,2,5,0
DE,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,2,4,0
GU,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
IA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,29,82,3,3
IL,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,24,105,44,4
IN,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,18,79,12,9
KS,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,24,82,6,15
LA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,14,70,10,11
ME,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,20,6,1
NC,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,17,58,26,5
NM,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,28,4,4
VA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,9,44,25,3
VI,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
ID,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,10,0,21,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,2,62,1,55,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,8,0,23,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NV,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,18,1,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,11,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,14,1,20,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,18,3,19,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,6,103,5,18,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ND,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,20,1,23,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
